City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.53,20.04,41.0,100,76,2.24,broken clouds
1,Avarua,CK,-21.21,-159.78,75.2,88,0,20.8,clear sky
2,Rikitea,PF,-23.12,-134.97,66.22,76,100,25.19,overcast clouds
3,Sitka,US,57.05,-135.33,64.4,59,75,14.99,broken clouds
4,Vaini,TO,-21.2,-175.2,77.0,94,75,6.93,broken clouds
5,Sola,VU,-13.88,167.55,86.0,79,75,4.7,broken clouds
6,Chimbote,PE,-9.09,-78.58,61.0,83,99,9.55,overcast clouds
7,Punta Arenas,CL,-53.15,-70.92,41.0,80,100,11.41,overcast clouds
8,San Cristobal,VE,7.77,-72.22,65.61,86,8,1.99,clear sky
9,Sibolga,ID,1.74,98.78,85.68,68,34,4.63,light rain
10,Naushki,RU,50.38,106.11,70.36,59,100,1.21,overcast clouds
11,Cape Town,ZA,-33.93,18.42,55.0,100,0,1.12,mist
12,Waingapu,ID,-9.66,120.26,85.95,56,0,13.49,clear sky
13,Pacific Grove,US,36.62,-121.92,66.99,77,90,8.05,smoke
14,Ponta Do Sol,PT,32.67,-17.1,75.2,78,75,10.29,broken clouds
15,Kahului,US,20.89,-156.47,82.4,58,1,16.11,clear sky
16,Luganville,VU,-15.53,167.17,82.4,78,40,5.82,scattered clouds
17,Lompoc,US,34.64,-120.46,60.8,82,90,5.82,overcast clouds
18,Asau,RO,46.43,26.4,64.0,81,0,4.21,clear sky
19,Bluff,NZ,-46.6,168.33,50.0,92,99,1.99,overcast clouds
20,Ambulu,ID,-8.35,113.61,87.49,52,0,8.59,clear sky
21,Bengkulu,ID,-3.8,102.27,87.48,59,23,7.52,few clouds
22,Shakawe,BW,-18.37,21.85,43.83,53,45,4.56,scattered clouds
23,Srednekolymsk,RU,67.45,153.68,46.53,54,99,11.83,overcast clouds
24,Nemuro,JP,43.32,145.57,69.8,64,75,4.7,broken clouds
25,Ulaangom,MN,49.98,92.07,74.44,39,0,9.66,clear sky
26,Ilulissat,GL,69.22,-51.1,41.0,73,23,4.29,few clouds
27,Yar-Sale,RU,66.83,70.83,58.26,87,100,12.21,overcast clouds
28,Vestmannaeyjar,IS,63.44,-20.27,48.13,69,100,5.23,overcast clouds
29,Kapaa,US,22.08,-159.32,82.4,69,40,13.87,scattered clouds
30,Haines Junction,CA,60.75,-137.51,50.52,81,100,2.73,overcast clouds
31,Roros,NO,62.57,11.38,57.2,93,26,4.7,scattered clouds
32,Amapa,BR,1.0,-52.0,68.86,98,19,2.1,few clouds
33,Iqaluit,CA,63.75,-68.51,46.4,93,90,2.24,overcast clouds
34,Bogo,PH,11.05,124.01,86.02,70,100,2.35,overcast clouds
35,Carnarvon,AU,-24.87,113.63,73.4,49,93,9.17,overcast clouds
36,Lebu,CL,-37.62,-73.65,48.16,83,0,13.98,clear sky
37,Yellowknife,CA,62.46,-114.35,52.0,76,20,9.17,few clouds
38,Trairi,BR,-3.28,-39.27,75.88,85,48,8.86,scattered clouds
39,Ubata,BR,-14.21,-39.52,68.74,94,84,1.36,broken clouds
40,Te Anau,NZ,-45.42,167.72,50.77,80,95,1.3,overcast clouds
41,Maragogi,BR,-9.01,-35.22,74.48,89,62,9.28,light rain
42,Norman Wells,CA,65.28,-126.83,60.8,48,75,8.05,broken clouds
43,Kulhudhuffushi,MV,6.62,73.07,82.96,71,100,7.07,overcast clouds
